,Label,Text
0,3,"RT @anacepareja: Así es  Andres, como quisiera más @KikeBravoPrado Kikes Bravos, imagínate el país estaría limpio, «KIKE CONTRALOR» «KIKE C…"
1,3,@LorenaHl97 @kikeflores05 todo menso el kikes
2,3,RT @vanguardiacom: Huevos Kikes donará un millón de huevos en Cauca y Santander https://t.co/ku32X06m10 https://t.co/mwBQqK40oL
3,3,"RT @Keith13543357: @EdmundOris 2011/12 villas boas wanted a youthful revolution at chelsea and unfortunately the kikes of drogba,anelka,mal…"
4,4,🐌 The TRUTH is out!! #TIL The best thing about kikes undoubtedly was due to cuckolds xD Rad :) 💜 🐾 🚢 🚨 🐀 ❤ 🉐 👏 ▶ 👢 🌍 🔰
5,1,"RT @ChristinePolon1: Wilhelm Warren III is trying to round up the Jews? 
These people are sick and evil! https://t.co/jG7QhAhfxX"
6,5,"@RoJustDGAF Blacks v Jews? 

Who do you think'll win? @RoJustDGAF 

*Niggers v Kikes?"
7,4,🔶   #Syria The issue of kikes in the last decade is a result of (((them))) . #prank . 🎯 ❤ 🐯 👟 🚛 ⬆ ✨ 💄 🚊 🚟 🐉 🔷
8,1,RT @bueti: Is There a Crackdown Against China’s Kaifeng Jews? | Al Bawaba https://t.co/uGJ0LoLQlp
9,5,@domenictiso4 @RightWingWatch Jewchristian zionazis sects!
10,5,@enddebtslavery1 @Dulce4Periculum @vmontef1 @AmemeHack Israel would be nothing without the US and the Zionazis that fund it !
11,5,@polish_truth @West_USA Communism and NAZIsm was created by Jews.
12,5,HM ‘s government simply recognized that it needed US help during WW1 and it could count on the Zionazis to manipulate Woodrow Wilson.
13,1,@StopAntisemites @Claire_Voltaire @LAPDHQ What kikes means?
14,1,RT @StopAntisemites: “FU*K KIKES” found today around noon spray painted on the front of an L.A. Synagogue on Pico. https://t.co/RgphLxIY6g
15,5,"@philipgiraldi American citizen shot dead by ZioNazis in occupied Palestine &amp; yet our government is SILENT, Fxxxxng unbelievable"
16,3,"RT @WeWuzKangVs: Tell it to the kikes, fagola https://t.co/2pwmVvUa8g"
17,1,"RT @HolocaustMuseum: #OTD in 1941, German authorities established the Krakow ghetto. Nearly 20,000 Jews were imprisoned behind barbed wire…"
18,1,RT @Imamofpeace: Look at what the infidels and Jews have made: A machine that produces 2 million masks a day. I wish we can become like the…
19,1,"RT @ProxyWay: Churchill continues: ""In the Soviet institutions the predominance of Jews is even more astounding. And the prominent if not t…"
20,1,RT @NathanAngelus: @RachelRileyRR @MaajidNawaz @QuilliamOrg The Far Left’s hypocrisy sucks. They have the gall to lie about Jews “weaponisi…
21,5,"This Fake #Arab TV &amp; all ZioNazi media are screaming but #Assad &amp; #Putin have all rights under international law to kick out foreign invaders - Turkey, the USA and ZioNazi Israel NOW. Why don't they? (33 Turkish soldiers killed in Syrian air raid in Idlib https://t.co/0dSC4hk9UF"
22,1,"@TimBurt @realDonaldTrump Christians and Jews have died, and atheists have lived.  Explain that."
23,2,"RT @Karan_Suriyaaaa: 4 Teaser &amp; Trailers Hits 500K+ Kikes💥💥💥💥💥

@Suriya_offl 
#அன்புள்ளசூர்யா #SooraraiPottru @Suriya_offl"
24,4,🐴 Hear me out; #randum The only thing preventing kikes (I heard this from a friend) provides conclusive evidence of vaccinations . #altfacts . 👪 🚻
25,5,@amalsaad_lb @Plagiste4you zionazis
26,4,⬅ I bet #TIL The American dream of  kikes unfortunately is the unfortunate result of the alt-right ? #FAKENEWS :) 🌌 🚡 🚐 🇮🇹 👙 8⃣ 💎 ⛵ 4⃣ ↕ 🐗 👭
27,1,"RT @JTAnews: Among the graffiti spray painted on the Etz Chayim Synagogue were ""F--- Kikes,"" ""Gas Em All,"" ""White Power,"" ""Jew Scum,"" and “…"
28,1,"Holy. Fucking. Shit. Might as well have said “these kikes,” Biden. I can’t believe the DNC believes in this putrid husk of a man."
29,5,"Once the &lt;100 IQ masses know who Qanon is, its all over. They are slaves to the kikes and brainwashed beyond reason."
30,5,Kikes fear me.
31,4,🚛 EXPLAIN THIS: #MAGA The saddest thing about kikes in most cases will be due to the new arnott's shapes ! Hangery ? ➡ ◀ 🌗 🈶 🌌 🌖 🚤 🌵 💀 🔶 🎲 💧
32,3,RT @TBirdRex1: Lithuania Drafts Law That Would Make It Impossible For Jews To Sue For ‘Holocaust’ Reparations https://t.co/xvWYT1ONSF
33,4,💒 IMO #TIL The media's biased view of kikes being rife with corruption is evidence of vaccinations . Mad :) 🌘 🌸 💁 👒 🐏 🈵 🚲 🐾 🎪 🌄 🚩 👑
34,1,@Fionn_Grunspan @milkmedianewyor I’m not Jewish but my vote went to ensure that Jews were safe here. It was the only factor in my vote.
35,1,RT @StopAntisemites: “FU*K KIKES” found today around noon spray painted on the front of an L.A. Synagogue on Pico. https://t.co/RgphLxIY6g
36,1,"RT @AuschwitzMuseum: In 1941 Jews in the occupied Netherlands were still allowed to use sport facilities. A year later, in July 1942, depor…"
37,5,"RT @theedailyboomer: THIS WILL BE CALLED 

OPERATION FUCK PORNHUB AND FUCK CHILD TRAFFICKING KIKES

A thread https://t.co/l4IApRigvb"
38,5,"RT @coolrunning8: Hitler was funded by
Whom 
Jews

The same jews
Whi scream
Anti SEMITISM 

Burning candle both
Ends
Either way 
You
WIN"
39,3,RT @vanguardiacom: Huevos Kikes donará un millón de huevos en Cauca y Santander https://t.co/ku32X06m10 https://t.co/mwBQqK40oL
40,1,"@DesmondsMark @benshapiro Between Bernie Sanders and Ben Shaprio, only one of those Jews gets name dropped in Nazi manifestos. 

And it ain't Bernie."
41,1,"RT @IlhanMN: On International Holocaust Remembrance Day, we mourn the lives of 6 million Jews who were systematically murdered.

Today and…"
42,5,RT @Lima17414722: arrêtez de financer les armes des nazis stop à tous les produits zionazis https://t.co/O4aYXaut3P
43,1,"@JareerKassis OTOH, your moral superiority is fact based. Your neighborhood in Ramallah had lots of Jews attending nearby Bir Zeit University. Palestinian society has welcomed people of all faiths in an effort to build a beautiful diverse mosaic."
44,4,Is he gonna sterminate kikes🤔?
45,3,RT @kiwianna111: @Shenaz10 @Arash_Maz Does this give the zionazi sadist a fix does it? warn/graphic https://t.co/BJZzKrWQqy
46,1,@cjbanning @JimMead18283862 @CxTheonaut They were written by Jews
47,5,@gemmaod1 @Piers_Corbyn useful idiots working for the bloody communist kikes
48,1,"@imtheg8imthekey @IfNotNowOrg @JoeBiden Kick the kikes out of Palestine, of course!!!!"
49,3,"@maidconnor this is proof that danganronpa is better than persona obama kikes danganronpa

but he headcanons chihiro as cishet- https://t.co/CPjEG0IqkT"
50,1,"@AngryBlackLady And, obvi, like you and me, a whole bunch of Jews."
51,4,🔁 I bet #lol The media's one-sided view of kikes amazingly might have been due to the lack of positive policies issued by today's government  xD Won't hear this on mainstream media!
52,5,@jnavinfo @BDSmovement @AXA No Freedom for Genocidal terrorist ZioNazis #BDS #FreePalestine #FreeTheWorld
53,1,"RT @AuschwitzMuseum: 26 January 1943 | A transport of 2,300 Jews deported by the Germans from ghettos in Sokółka and Jasionówka arrived at…"
54,2,But like so are jews u kno
55,3,RT @vanguardiacom: Huevos Kikes donará un millón de huevos en Cauca y Santander https://t.co/ku32X06m10 https://t.co/mwBQqK40oL
56,3,"Amores  míos tenía los antojos de la vidaaaa y @Manuelduran185 me mandan esta delicia de empanadas  kikes 🤤 si andan antojaditos como yo, este es el número de ellos 3162296389 y llevan a cualquier parte de Bucaramanga (área metropolitana) 🤤 recomendadisimas #Bucaramanga https://t.co/MfS7KEH1OL"
57,4,"🎩 Without a doubt, #TIL The saddest thing about kikes unsurprisingly is 100% the fault of the sale of nacotics xD FAKE ! 🌔 👯 💤 💐 ® 🌿 ☝ ™ 🚜 👍 🌅"
58,4,"@APEastRegion If only the Hasidic Jews didn’t wear provocative clothing... they were asking for it, really"
59,3,I can guarantee you anything someone who uses the expression “zionazi” says is false and motivated by bigotry.
60,4,that doesnt make it okay ??? im a [k slur] but do you think i want other kikes calling me a [k slur]? fuck no. just becau… — ! https://t.co/VcMZODDMJM
61,5,"RT @cursedsalad: Anyone else tired of our ""elected representatives"" fetishizing Jews?"
62,5,@sahouraxo Apartheid israel = zionazi hellhole
63,1,"RT @metalshtetal: 'zionists', 'zios', 'zionazis', '(((them))), and now 'gnasher scum' and its variations. All used as substitute words for…"
64,1,"@Michali1990 @wealdengirl @BDSmovement There’s nothing Democrats can do to make Liberal American Jews vote against them. Not their vile antisemites, pro BDS stance, cozying up with Islamonazis, and hate for Israel.

American Jews still cling to the fantasy of conservative racism and bury their heads in the sand."
65,1,@mikepfarmer @mishtal Pathetic intent not to acknowledge the connection between jews and Israel
66,3,Huevos Kikes anunció que entregará un millón de huevos a familias necesitadas en el Norte del Cauca y Santander  https://t.co/606JXL9GDh
67,5,"RT @peteno8: @4AnonxTruther @bethelight8911 @CarlDevitt @Belinda82308433 @Kt23kartracer Bush snr was a zionazi, his father was SS (shirff)…"
68,1,@KissMeAdapoDwae @noafens BUT YOY ROKD HIN NOT YO LOOK AR THE KIKES
69,3,"RT @JoseCuelloB: La gente de huevos kikes va a donar un millón de huevos a la gente más necesitada del país.

Felicitaciones a ellos. Creo…"
70,4,🐵 Hear me out; #TIL The best thing about kikes in the near future is an example of the patriachy rawr Hangery ! 👋 🚝 ⛽ 🆙 🇬🇧 🚛 👃 🚙 🙏 ↔ 🐍 👌
71,1,"RT @KatieFforde: I am so proud to be President of the RNA.  Although we are 60, I am only the third. 1st helped Jews escape from Nazi Germa…"
72,1,Dr. Joseph Mengele already tested this course of treatment on Jews during the Holocaust.   He killed them. Don’t listen to Trump.  He is mentally ill.
73,5,@40_Ronda He is pro Zionazi despite of what he says #BDS
74,4,🚠   #randum The worst thing about kikes (As of this decade) is due to how many cheezels Malcom can fit on his fingers rawr FAKE ! 🚛 🐱 🙎 🐰 💁 🆖 🚇
75,2,"It’s sad how some people cater to Zionist Jews feelings and are afraid to say anything that upsets their fragile feelings. 
It’s the truth, and Israelis don’t like hearing it. 
They live in a bubble filled with rotten rabbi shit and they feed off false sob propaganda."
76,1,"RT @AuschwitzMuseum: Minnesota high school students mocked Jews being sent to Auschwitz in a TikTok video. In response, they were assigned…"
77,1,Not my boy Jeter downs wow was supposed to take kikes roster spot :///
78,5,"RT @PatristicsFan: Obligatory reminder that Judaism today is a false religion of the Rabbis, and that Jews need to convert to Christianity,…"
79,5,@shaunattwood French Revolution 1: Jewish Bankers Jacobin Freemasons &amp; Jews = youtube
80,1,"RT @HenMazzig: Once and for all, as I’ve stated over and over again: Ashkenazi Jews are just as indigenous to Israel as any Jew. Recognizin…"
81,5,RT @theforeverman: This Fake #Arab TV &amp; all ZioNazi media are screaming but #Assad &amp; #Putin have all rights under international law to kick…
82,1,"RT @GovChrisSununu: Today on #YomHashoah we remember the 6 million innocent Jews that lost their lives during the Holocaust, the families t…"
83,1,RT @TimesofIsrael: ‘F**k Kikes’ spray-painted on Los Angeles synagogue https://t.co/UQCT76yu27
84,1,"I will never understand the appeal, for Jews, to live in Poland... Ugh https://t.co/6a6Bdtc4YY"
85,4,↪ I assure you that #randum The media's biased view of kikes surprisingly is the sale of weapons to small african children :) Bad ! 🚔 🐞 0⃣ 🐼 ⏪ ⛲ 👪
86,5,"RT @liberalDeaths: @ADL_National Kikes in Israel need diversity, Jewish women love black men. https://t.co/DTpEZrdWin"
87,1,5 kikes
88,4,🔣 Guess what? #MAGA The limit of kikes (I heard this from a friend) is 100% the fault of the sale of drugs :) Won't hear this on mainstream media! !
89,5,@goldsheinbild Das freut den rassistischen Zionazi
90,4,"🐩 According to a new study, #MAGA The only thing preventing kikes (citation needed) is the fault of vaccinations rawr xd Hangery :) 🆖 🗼 🎩 🌛 ↔ 👖"
91,1,"RT @ofirgendelman: Justice is served!

Hezbollah terrorists dressed up as Orthodox Jews in Beirut in a racist stunt aimed at inciting peopl…"
92,1,"@Book_Em_Dano_83 @RabbiJill ""Bernie Bro"" is a slur.

Your sentence is like saying ""Gooks and Kikes act the same""

You have internalized your bigotry so deeply you casually use insults without even realizing it."
93,3,"Kikes taqueria in Salem, Oregon got em"
94,1,"@Ilhan You of course realize that Passover is about Jews leaving our oppressors to return to our indigenous homeland, Israel. Right? You realize the holiday ends with declaring “next year in Jerusalem”, yes? I’m being facetious. You’re so clueless."
95,1,RT @Imamofpeace: It’s both unbelievable and amazing how fast the Middle East is changing its attitude towards Jews and Israel. We need to e…
96,1,RT @DavidAstinWalsh: Fun fact for Holocaust Remembrance Day: this was the same tactic used to keep European Jews out of the United States i…
97,5,"Seems kinda, i dunno, anti Semitic to insist Jews are a monolithic group that all support a white nationalist, apartheid endeavor in constant breach of international law. Probs insensitive to incite the final solution to national health care, ya big military welfare queens $4B/yr"
98,1,"RT @CJPAC: Today we remember Raoul Wallenberg, who saved the life of 100,000 Jews in Hungary in the midst of the Holocaust. He was detained…"
99,5,"RT @Deeohvoloh: Fuck kikes!!!

Retweet if you agree."
100,4,💒 Share This: #lol The desperate state of kikes (citation needed) is the unfortunate result of the socialist revolution ? Fad :( 🌷 🐳 🐺 🈹 👈 🏭 🌌
101,4,"🐇 According to a new study, #lol The only thing preventing kikes today might have been due to dog on grog rawr xd #alternativefacts :( 0⃣ 🎡 🆖 💆 🎢"
102,3,"RT @anacepareja: Así es  Andres, como quisiera más @KikeBravoPrado Kikes Bravos, imagínate el país estaría limpio, «KIKE CONTRALOR» «KIKE C…"
103,4,"🔼 Nowadays, #MAGA The only thing preventing kikes surprisingly will be due to the socialist revolution rawr xd Glad ? 🏀 👉 🙏 💐 💒 🇮🇹 4⃣ 👽 🔣 💚"
104,1,"Yep, nothing like comparing the estimated 15 and 20 million Jews who died in the Holocaust to illegals attempting to enter a country @JoeBiden. 🤦‍♀️And the woman asking the question is obviously an uneducated fool.

https://t.co/WfQBkcTXgS"
105,2,"RT @mikevlach: My definition of the Church in a nutshell: ""The Church is the messianic/New covenant community of Jews and Gentiles in this…"
106,4,🙎 I bet #TIL The one thing stopping kikes (I heard this from a friend) provides conclusive evidence of thicc ladies in parliament xD Mad . 🐣 👈 👪 🏈
107,3,"RT @JoseCuelloB: La gente de huevos kikes va a donar un millón de huevos a la gente más necesitada del país.

Felicitaciones a ellos. Creo…"
108,1,"RT @MikeGarcia2020: 1/Today, Yom HaShoah, we remember the 6 million Jews who perished in the Holocaust at the hands of the Nazi regime. It…"
109,1,"RT @johncardillo: Notorious anti-Semite terror supporter Linda Sarsour’s BFF, Bürgermeister Warren Wilhelm, has a message for NYC’s Jews:"
110,1,RT @Smart3Stacy: Blatant Anti-Semitism on full display. Spanish parade mocks the holocaust and the 6 million Jews that died. With socialism…
111,1,"@SarafNoah @Zimmlaw175 @tarekwrites @ShowUrJewPride Who named the land Palestine after the Jews enemies the Philistines, in an effort to eradicate Judaism. We’re still here the Romans aren’t &amp; if the Palestinians don’t decide to live in ☮️ with 🇮🇱 they won’t be..."
112,1,RT @MHayehudi: Another #antisemitic attack on Jews in New York.  No the attacker wasn't a #WhiteSupremacist .  Media silence is glaring. Th…
113,5,@Geshti_Azadi @narangestan @BiruniKhorasan Kurds always backstab their host countries. Are you guys related to Jews or something?
114,1,"RT @realDSteinberg: Jewish Americans need to appreciate the horror of this.

Your parents spent the ‘80s helping Russian Jews, who just esc…"
115,1,"RT @GOPLeader: 11 million people, including 6 million Jews, were murdered during the Holocaust. We must never forget, and we must always st…"
116,1,"RT @GnasherJew: Just another @UKLabour supporter/member pretending to be Jewish whilst calling us ""ZioNazis"" (white supremacist talk for Je…"
117,2,"RT @TheRaDR: It is #HolocaustMemorialDay. 

The Nazis targeted 

Jews
Romani people 
Disabled people 
Queer and trans people
People with th…"
118,1,"RT @habibi_uk: Labour MP who has just expressed ""solidarity"" with ""political prisoners"" who are actually terrorist murderers of Jews now sa…"
119,5,@Coburgist @marymar49743095 Noone told the kikes to Crucify the God-Man. They did they all on their own because they adore Satan and abhor Him.
120,1,"RT @Atlantiso1: NJ arrested and fined 15 Jews for attending their Synagogue, denying them the religious rights enshrined in the Constitutio…"
121,1,"RT @AuschwitzMuseum: 14 January 1919 | Franco Sacerdoti was born in Napoli. One of ca. 7,500 Italian Jews deported to #Auschwitz. He did no…"
122,5,"I do not look down on niggers, kikes, wops or greasers.
Here you are all equally worthless!
「黒豚、ユダ豚、イタ豚を、俺は見下さん　すべて平等に価値がない！」"
123,1,"@status_culture Wait... Republicans put Jews in US concentration camps and they were freed by the Dems??! I had no idea... 

See how dumb your point sounds🤔"
124,3,@IvetteMar Baleadas Kikes gigante
125,1,"RT @simonmaginn: I just heard Trump doing the antisemitism thing against the US Democrats. Casually switching between 'Israel' and 'Jews',…"
126,1,"RT @redwins3_first: @SenSanders will kill off Jews (He was a Jew.)  &amp; Christians.....Period.
Look at his friends....(Linda &amp; Omar)
#CairSup…"
127,4,🐨 I bet #lol The saddest thing about kikes mind-blowingly will be Donald Trump's 'hairstyle' ? Sad ? 🚠 🌺 🐚 ➡ 💀 🎪 💁 ☁ 😾 💤 😿 🙇
128,1,"RT @SelinaDavis73: 1. How do ppl end up HERE w/o recognizing this is some racist sh*t that parallels claims made abt Jews in Mein Kampf?
2.…"
129,1,RT @AuschwitzMuseum: 14 January 1902 | Polish Jews Josek Mac was born in Radom. He was a worker. Incarcerated in #Auschwitz on 20 February…
130,4,💌   #randum The American dream of  kikes by and large is the brainchild of how many cheezels Malcom can fit on his fingers ! Bad :( 🎡 🚊 👝 😹 🚂 🌺
131,1,@GodLovesUSA1 @ibdrewUSA .Remember when Donald Trump opened his country club to Blacks and Jews when others had signs NO JEWS NO DOGS?   -  I love our Djt.
132,4,"👓 Did you know? #MAGA What's happening with kikes ,for all one knows, could have been due to the lack of Jobs and Growth :) Glad ! 👑 🐞 🆗 👘 🍀 🚁"
133,1,@LillianRosengar Palestinian Authority Rewards Terrorists for Number of Jews They Kill https://t.co/pcW6ClWY0T
134,1,"RT @AuschwitzMuseum: 1 April 1933 | Nazis carried out the first nationwide, planned action against Jews of Germany: a boycott of businesses…"
135,4,"RT @ratcatcher2: First they came for JC then they
We know there's GREAT Jews like Saunders Falk etc
We know there's very BAD #Zionists Colo…"
136,5,@news_ntd @BoudiceaSabeaen ZioNazi Fear Campaign ti get dissidents and protesters off the streets.
137,1,"As armed white supremacist protestors waving confederate flags and signs declaring Jews to be the “real plague” gather all over the country to defend their “right” to spread a deadly virus, Mayor De Blasio thought it was appropriate to scapegoat our Jewish neighbors."
138,4,🈳 Guess what? #randum The desperate state of kikes today was due to cucks ? Glad !  🐓 💕 👅 🐝 💐 🙇 🐣 💦 🐅 🚜 🌘
139,5,"@mbachelet
Fish in a barrel. Canned hunt. Wholesale slaughter. Zionazi sympathizers allowing this.
https://t.co/EwOAOgmC2b"
140,1,"Kids in cages, deportations, Muslim ban, rising xenophobia,intolerance towards Jews &amp; Muslims, assassinating foreign leader,open prejudice towards Iranians, bogus Impeachment trial, asst Israeli annexation,expanded Muslim ban. 

The US is literally asking to be invaded by the US."
141,1,Jews around the world prepare for a Passover different from any other https://t.co/7f6jYSx1md
142,4,🚘 BREAKING NEWS!!! #randum The downfall of kikes perhaps should have been back-stabbing xD Fad :) 🌊 👺 👡 ⛽ ✋ 💄 🚹 👈 〽 🐔 🌇 🌇
143,1,RT @mithisa_motho: There is no Adolf Hitler Foundation. The Jews respect themselves
