Text	Label
The civilian victims of the #JerseyCityShooting were all Orthodox Jews at a Kosher  market that doubled as a community center.	0
Most people are not even aware that Mizrahi Jews were murdered in the Shoah. Teaching about the totality of the Shoah is vital & this is such an important move &  I know that going forward i will make sure I discuss the fate of Mizrahi Jews in depth.	0
Am Yisrael Chai Learn what this means. We Jews, from all around the world, are a nation. That  does not in any way mean that American Jews aren't Americans	0
Just want to confirm that Trump saying Jews are not American and the military  holding up white power symbols in the same week is not reminiscent of anything  in history we should be worried about?	0
PSA to Jews: The only correct response when someone tells you “You don’t look  Jewish” is “You don’t look antisemitic”.	0
Do you oppose the Jewish agenda for your country? You are now considered a  terrorist. Jews have distracted us by portraying Sharia law as an imminent threat, while they  institute their own Bolshevist laws to crush dissent. Jews are totalitarian. Prove me wrong.	1
Sirens wailed and Israelis came to a standstill for a two-minute moment of silence  to remember the 6 million Jews killed in the Holocaust.	0
If Jews in the UK want to get upset about anything their focus shouldn’t be on  lifelong Human Rights Campaigner @jeremycorbyn it should be what’s happening  over in Palestine/Israel where their fellow Jews are murdering, stealing and  brutalising Palestinians on a daily basis.	1
Jews are being stabbed, shot, beaten, and harassed in New York virtually everyday  and y’all are seriously entertaining the thought that maybe it’s the Jews’ fault. Antisemitism is not just the physical act of harming Jews, but the philosophy that  enables it.	0
.@nytimes has a political editor @tomwp who literally describes himself on Twitter  as anti-Semitic & has slammed Jews, Native American Indians & others. This isn’t  an intern. It’s an editor. Someone should walkover to his desk, tell him to pack up &  escort him out.	0
There appears to have been a mass stabbing of Jews in synagogue tonight after  shabbat in Monsey, New York, according to initial reports:	0
Pretty wild that we’re all promoting our comedy shows on the same website  conservatives are using to make lists of Jews	0
what's difference between dollars and Jews? I'd give a fuck if I lost 6 million dollars	1
Jews deported to #Auschwitz for extermination were given the illusion of hope.  They were told about resettlement, new jobs & life. Personal items robbed in the  camp are a painful symbol of this hope which was ultimately used against the victims.	0
The beginning involved language that dehumanized Jews and other "undesirables."  They were called dirty. They were called vermin & characterized as criminals &  disease carriers. Once you make a group less than human, it's much easier to put  them in inhumane conditions.	0
Guys, listen to how fucked up this vile White Supremacist is, it’s terrifying to hear  him say Jews are a “Sub Race”. Sorry you’ll hear me gasp in video but shook me to  my core.	0
