,Label,Text
0,0,  as es  andres como quisiera ms  kikes bravos imagnate el pas estara limpio kike contralor kike c
1,0,  todo menso el kikes
2,0,  huevos kikes donar un milln de huevos en cauca y santander  
3,0,   201112 villas boas wanted a youthful revolution at chelsea and unfortunately the kikes of drogbaanelkamal
4,1, the truth is out til the best thing about kikes undoubtedly was due to cuckolds xd rad             
5,0,  wilhelm warren iii is trying to round up the jews these people are sick and evil 
6,1, blacks v jews who do you thinkll win  niggers v kikes
7,1,   syria the issue of kikes in the last decade is a result of them  prank             
8,0,  is there a crackdown against chinas kaifeng jews  al bawaba 
9,1,  jewchristian zionazis sects
10,1,    israel would be nothing without the us and the zionazis that fund it 
11,1,truth usa communism and nazism was created by jews
12,1,hm s government simply recognized that it needed us help during ww1 and it could count on the zionazis to manipulate woodrow wilson
13,0, voltaire  what kikes means
14,0,  fuk kikes found today around noon spray painted on the front of an la synagogue on pico 
15,1, american citizen shot dead by zionazis in occupied palestine amp yet our government is silent fxxxxng unbelievable
16,0,  tell it to the kikes fagola 
17,0,  otd in 1941 german authorities established the krakow ghetto nearly 20000 jews were imprisoned behind barbed wire
18,0,  look at what the infidels and jews have made a machine that produces 2 million masks a day i wish we can become like the
19,0,  churchill continues in the soviet institutions the predominance of jews is even more astounding and the prominent if not t
20,0,     the far lefts hypocrisy sucks they have the gall to lie about jews weaponisi
21,1,this fake arab tv amp all zionazi media are screaming but assad amp putin have all rights under international law to kick out foreign invaders  turkey the usa and zionazi israel now why dont they 33 turkish soldiers killed in syrian air raid in idlib 
22,0,  christians and jews have died and atheists have lived  explain that
23,0, suriyaaaa 4 teaser amp trailers hits 500k kikesoffl  sooraraipottru offl
24,1, hear me out randum the only thing preventing kikes i heard this from a friend provides conclusive evidence of vaccinations  altfacts   
25,1,lb  zionazis
26,1, i bet til the american dream of  kikes unfortunately is the unfortunate result of the altright  fakenews       8   4   
27,0,  among the graffiti spray painted on the etz chayim synagogue were f kikes gas em all white power jew scum and 
28,0,holy fucking shit might as well have said these kikes biden i cant believe the dnc believes in this putrid husk of a man
29,1,once the lt100 iq masses know who qanon is its all over they are slaves to the kikes and brainwashed beyond reason
30,1,kikes fear me
31,1, explain this maga the saddest thing about kikes in most cases will be due to the new arnotts shapes  hangery             
32,0,  lithuania drafts law that would make it impossible for jews to sue for holocaust reparations 
33,1, imo til the medias biased view of kikes being rife with corruption is evidence of vaccinations  mad             
34,0,grunspan  im not jewish but my vote went to ensure that jews were safe here it was the only factor in my vote
35,0,  fuk kikes found today around noon spray painted on the front of an la synagogue on pico 
36,0,  in 1941 jews in the occupied netherlands were still allowed to use sport facilities a year later in july 1942 depor
37,1,  this will be called operation fuck pornhub and fuck child trafficking kikesa thread 
38,1,  hitler was funded bywhom jewsthe same jewswhi screamanti semitism burning candle bothendseither way youwin
39,0,  huevos kikes donar un milln de huevos en cauca y santander  
40,0,  between bernie sanders and ben shaprio only one of those jews gets name dropped in nazi manifestos and it aint bernie
41,0,  on international holocaust remembrance day we mourn the lives of 6 million jews who were systematically murderedtoday and
42,1,  arrtez de financer les armes des nazis stop  tous les produits zionazis 
43,0, otoh your moral superiority is fact based your neighborhood in ramallah had lots of jews attending nearby bir zeit university palestinian society has welcomed people of all faiths in an effort to build a beautiful diverse mosaic
44,1,is he gonna sterminate kikes
45,0,   maz does this give the zionazi sadist a fix does it warngraphic 
46,0,   they were written by jews
47,1, corbyn useful idiots working for the bloody communist kikes
48,0,   kick the kikes out of palestine of course
49,0, this is proof that danganronpa is better than persona obama kikes danganronpabut he headcanons chihiro as cishet 
50,0, and obvi like you and me a whole bunch of jews
51,1, i bet lol the medias onesided view of kikes amazingly might have been due to the lack of positive policies issued by todays government  xd wont hear this on mainstream media
52,1,   no freedom for genocidal terrorist zionazis bds freepalestine freetheworld
53,0,  26 january 1943  a transport of 2300 jews deported by the germans from ghettos in sokka and jasionwka arrived at
54,0,but like so are jews u kno
55,0,  huevos kikes donar un milln de huevos en cauca y santander  
56,0,amores  mos tena los antojos de la vidaaaa y  me mandan esta delicia de empanadas  kikes  si andan antojaditos como yo este es el nmero de ellos 3162296389 y llevan a cualquier parte de bucaramanga rea metropolitana  recomendadisimas bucaramanga 
57,1, without a doubt til the saddest thing about kikes unsurprisingly is 100 the fault of the sale of nacotics xd fake            
58,1, if only the hasidic jews didnt wear provocative clothing they were asking for it really
59,0,i can guarantee you anything someone who uses the expression zionazi says is false and motivated by bigotry
60,1,that doesnt make it okay  im a k slur but do you think i want other kikes calling me a k slur fuck no just becau   
61,1,  anyone else tired of our elected representatives fetishizing jews
62,1, apartheid israel  zionazi hellhole
63,0,  zionists zios zionazis them and now gnasher scum and its variations all used as substitute words for
64,0,   theres nothing democrats can do to make liberal american jews vote against them not their vile antisemites pro bds stance cozying up with islamonazis and hate for israelamerican jews still cling to the fantasy of conservative racism and bury their heads in the sand
65,0,  pathetic intent not to acknowledge the connection between jews and israel
66,0,huevos kikes anunci que entregar un milln de huevos a familias necesitadas en el norte del cauca y santander  
67,1,       bush snr was a zionazi his father was ss shirff
68,0,  but yoy rokd hin not yo look ar the kikes
69,0,  la gente de huevos kikes va a donar un milln de huevos a la gente ms necesitada del pasfelicitaciones a ellos creo
70,1, hear me out til the best thing about kikes in the near future is an example of the patriachy rawr hangery             
71,0,  i am so proud to be president of the rna  although we are 60 i am only the third 1st helped jews escape from nazi germa
72,0,dr joseph mengele already tested this course of treatment on jews during the holocaust   he killed them dont listen to trump  he is mentally ill
73,1,ronda he is pro zionazi despite of what he says bds
74,1,   randum the worst thing about kikes as of this decade is due to how many cheezels malcom can fit on his fingers rawr fake        
75,0,its sad how some people cater to zionist jews feelings and are afraid to say anything that upsets their fragile feelings its the truth and israelis dont like hearing it they live in a bubble filled with rotten rabbi shit and they feed off false sob propaganda
76,0,  minnesota high school students mocked jews being sent to auschwitz in a tiktok video in response they were assigned
77,0,not my boy jeter downs wow was supposed to take kikes roster spot 
78,1,  obligatory reminder that judaism today is a false religion of the rabbis and that jews need to convert to christianity
79,1, french revolution 1 jewish bankers jacobin freemasons amp jews  youtube
80,0,  once and for all as ive stated over and over again ashkenazi jews are just as indigenous to israel as any jew recognizin
81,1,  this fake arab tv amp all zionazi media are screaming but assad amp putin have all rights under international law to kick
82,0,  today on yomhashoah we remember the 6 million innocent jews that lost their lives during the holocaust the families t
83,0,  fk kikes spraypainted on los angeles synagogue 
84,0,i will never understand the appeal for jews to live in poland ugh 
85,1, i assure you that randum the medias biased view of kikes surprisingly is the sale of weapons to small african children  bad    0    
86,1,  national kikes in israel need diversity jewish women love black men 
87,0,5 kikes
88,1, guess what maga the limit of kikes i heard this from a friend is 100 the fault of the sale of drugs  wont hear this on mainstream media 
89,1, das freut den rassistischen zionazi
90,1, according to a new study maga the only thing preventing kikes citation needed is the fault of vaccinations rawr xd hangery       
91,0,  justice is servedhezbollah terrorists dressed up as orthodox jews in beirut in a racist stunt aimed at inciting peopl
92,0,emdano83  bernie bro is a sluryour sentence is like saying gooks and kikes act the sameyou have internalized your bigotry so deeply you casually use insults without even realizing it
93,0,kikes taqueria in salem oregon got em
94,0, you of course realize that passover is about jews leaving our oppressors to return to our indigenous homeland israel right you realize the holiday ends with declaring next year in jerusalem yes im being facetious youre so clueless
95,0,  its both unbelievable and amazing how fast the middle east is changing its attitude towards jews and israel we need to e
96,0,  fun fact for holocaust remembrance day this was the same tactic used to keep european jews out of the united states i
97,1,seems kinda i dunno anti semitic to insist jews are a monolithic group that all support a white nationalist apartheid endeavor in constant breach of international law probs insensitive to incite the final solution to national health care ya big military welfare queens 4byr
98,0,  today we remember raoul wallenberg who saved the life of 100000 jews in hungary in the midst of the holocaust he was detained
99,1,  fuck kikesretweet if you agree
100,1, share this lol the desperate state of kikes citation needed is the unfortunate result of the socialist revolution  fad        
101,1, according to a new study lol the only thing preventing kikes today might have been due to dog on grog rawr xd alternativefacts  0    
102,0,  as es  andres como quisiera ms  kikes bravos imagnate el pas estara limpio kike contralor kike c
103,1, nowadays maga the only thing preventing kikes surprisingly will be due to the socialist revolution rawr xd glad        4   
104,0,yep nothing like comparing the estimated 15 and 20 million jews who died in the holocaust to illegals attempting to enter a country  and the woman asking the question is obviously an uneducated fool
105,0,  my definition of the church in a nutshell the church is the messianicnew covenant community of jews and gentiles in this
106,1, i bet til the one thing stopping kikes i heard this from a friend provides conclusive evidence of thicc ladies in parliament xd mad     
107,0,  la gente de huevos kikes va a donar un milln de huevos a la gente ms necesitada del pasfelicitaciones a ellos creo
108,0,  1today yom hashoah we remember the 6 million jews who perished in the holocaust at the hands of the nazi regime it
109,0,  notorious antisemite terror supporter linda sarsours bff brgermeister warren wilhelm has a message for nycs jews
110,0,  blatant antisemitism on full display spanish parade mocks the holocaust and the 6 million jews that died with socialism
111,0,    who named the land palestine after the jews enemies the philistines in an effort to eradicate judaism were still here the romans arent amp if the palestinians dont decide to live in  with  they wont be
112,0,  another antisemitic attack on jews in new york  no the attacker wasnt a whitesupremacist   media silence is glaring th
113,1,azadi   kurds always backstab their host countries are you guys related to jews or something
114,0,  jewish americans need to appreciate the horror of thisyour parents spent the 80s helping russian jews who just esc
115,0,  11 million people including 6 million jews were murdered during the holocaust we must never forget and we must always st
116,0,  just another  supportermember pretending to be jewish whilst calling us zionazis white supremacist talk for je
117,0,  it is holocaustmemorialday the nazis targeted jewsromani people disabled people queer and trans peoplepeople with th
118,0, uk labour mp who has just expressed solidarity with political prisoners who are actually terrorist murderers of jews now sa
119,1,  noone told the kikes to crucify the godman they did they all on their own because they adore satan and abhor him
120,0,  nj arrested and fined 15 jews for attending their synagogue denying them the religious rights enshrined in the constitutio
121,0,  14 january 1919  franco sacerdoti was born in napoli one of ca 7500 italian jews deported to auschwitz he did no
122,1,i do not look down on niggers kikes wops or greasershere you are all equally worthless
123,0,culture wait republicans put jews in us concentration camps and they were freed by the dems i had no idea see how dumb your point sounds
124,0, baleadas kikes gigante
125,0,  i just heard trump doing the antisemitism thing against the us democrats casually switching between israel and jews
126,0, first  will kill off jews he was a jew  amp christiansperiodlook at his friendslinda amp omarcairsup
127,1, i bet lol the saddest thing about kikes mindblowingly will be donald trumps hairstyle  sad             
128,0,  1 how do ppl end up here wo recognizing this is some racist sht that parallels claims made abt jews in mein kampf2
129,0,  14 january 1902  polish jews josek mac was born in radom he was a worker incarcerated in auschwitz on 20 february
130,1,   randum the american dream of  kikes by and large is the brainchild of how many cheezels malcom can fit on his fingers  bad       
131,0,  remember when donald trump opened his country club to blacks and jews when others had signs no jews no dogs     i love our djt
132,1, did you know maga whats happening with kikes for all one knows could have been due to the lack of jobs and growth  glad       
133,0, palestinian authority rewards terrorists for number of jews they kill 
134,0,  1 april 1933  nazis carried out the first nationwide planned action against jews of germany a boycott of businesses
135,1,  first they came for jc then theywe know theres great jews like saunders falk etcwe know theres very bad zionists colo
136,1,ntd  zionazi fear campaign ti get dissidents and protesters off the streets
137,0,as armed white supremacist protestors waving confederate flags and signs declaring jews to be the real plague gather all over the country to defend their right to spread a deadly virus mayor de blasio thought it was appropriate to scapegoat our jewish neighbors
138,1, guess what randum the desperate state of kikes today was due to cucks  glad             
139,1,fish in a barrel canned hunt wholesale slaughter zionazi sympathizers allowing this
140,0,kids in cages deportations muslim ban rising xenophobiaintolerance towards jews amp muslims assassinating foreign leaderopen prejudice towards iranians bogus impeachment trial asst israeli annexationexpanded muslim ban the us is literally asking to be invaded by the us
141,0,jews around the world prepare for a passover different from any other 
142,1, breaking news randum the downfall of kikes perhaps should have been backstabbing xd fad             
143,0, motho there is no adolf hitler foundation the jews respect themselves
144,0,sometimes i wonder if these are real people or just anti non jews trying to make jews look dumb 
145,1,  you kikes all talk the same way
146,0,now   no trumps not he armed ukrainian nazis who scream we must get the kikes and russians out of ukraineoleg tyanhybok bombs russias only client state and continues economically sabotage a pipeline to russian gas so as to force europe to buy our crap mafiastyle
147,0,inc  its a bad move for the far left to expel jews from their movements nearly every single one in the past decade has failed in no small part due to their refusal to meaningfully include us
148,1, steve    zionazi in the house
149,1,   mossad agents got angry zionazis in london golders green to join labour as fake members then they orchestrated mass fictitious  as allegations to artificially make large numbers of false complaints amp clog up the system  it was all planned these fake member havent renewed
150,0,    unos echen kikes y otras maltratan a la madre dos echos
151,1, i guarantee that syria the australian dream of kikes getting a taste of their own medicine is mint slices  sad   3         
152,0,   oh yeahforgot that one zionazithe jew haters adore that one 
153,1, those zionazis will pay a hearty price for their atrocities they are nothing but a bunch of killers  criminals and terrorists
154,0,  what happened to the jews in germany in the 1930s is happening to muslims in india today
155,0,these personal belongings of anonymous people mostly jews were confiscated upon arrival at auschwitz they were stored in the kanada section along with the other goods that the deportees brought with them collection of  at  
156,0,  que lo nico que se esparza sea la yema de tus kikes este sbado a las 800 pm el programa de cocina ms importante
157,1, without a doubt maga the problem with kikes by and large provides conclusive evidence of the bourgeoisie  fad            
158,0, mejor dos huevos y de paso fomentamos la industria avcola consumo solo kikes
159,1,the kikes want to buy every aspect of government
160,1,that is just fkn stupid zionazi shit theres a coin with his flag on it and a swastika  on the other side
161,0, kikes vogue   nigerias no1 online clothing store
162,0,  26 february 1944  a transport of 650 jews arrived at auschwitz from fossoli di carpi 526 people were murdered in ga
163,1,  zionazis bds israelicrimes
164,0,  in 1920 when arab rioters killed jews in jerusalem there was no israel nor in 1921 jaffa 1929 hebron or 1938 tiberias1000
165,0,  citys overrun with kikes and low irish in ten years a christian wont be able to make a living i tell you the c
166,0,  president donald j trump stands up for the unborn president donald j trump stands up for christians and jews pres
167,0,  jews uneasy long for the jdl  via  jewishdefenseleague jdl
168,1, without a doubt til the best thing about kikes i heard this from a friend provides conclusive evidence of cucks rawr fake       
169,1, doom israal zionazi
170,0,  those who say  is not a safe place for jews are right but not in the way they think labour is not a safe place
171,1, every single timewhat is it with kikes defiling white girls
172,1,   a prophet wannabe  will do whatever the zionazis demand
173,0,  just another  supportermember pretending to be jewish whilst calling us zionazis white supremacist talk for je
174,1,every country must reject netanyahoo concocted fake deal of the century world nations must stand up to this zionazis crime of the century no more balfour 
175,1,  they have behaved like zionazis
176,0,   why did you just bring in jews into the equation randomly you realize that its antisemitic to compare every little
177,1,   randum the saddest thing about kikes unfortunately is evidence of the inability of politicians to recognise the needs of a modern australia  fad
178,1, oh dear little zionazi sympathiser is losing his marbles and becoming a pottymouth when he loses his arguments  totally to be expected of course
179,0, i think  kikes it i heard its good
180,0,  dnde est kikes
181,1,com kikes are always cowards
182,0, neil thinking about how throughout history jews faced enormous  pressure to become christiansmuslims and now face the same pr
183,0,zionists zios zionazis them and now gnasher scum and its variations all used as substitute words for jews and our allies 
184,1,hermit     its not a scandal because these kikes cover it up
185,1, none of my 90s wrestlers are allowed to be kikes that would wreck my childhood heroes 
186,0,israeli rabbi calls on american jews to return to israel before draft reinstated 
187,1,exactlyagain the strangulation of zionazis not a real peace deala farceusa hasnt been an honest broker in decadeshow could they when there r 350 zio 501c grps milking us tax amp lobbyist grps who bully us govtlying trump must abide by his boss weasel adelson amp foreign zios
188,1, guess what syria the basis of  kikes controversially is evident due to the sale of nacotics rawr xd fakenews             
189,1,zionazi standards of humanity 
190,1, fyi syria the medias slanted view of kikes overall will be due to the sale of weapons to small african children  bad     8     
191,0,  spanish blue division soldiers witnessed deportations of jews in russia writes boris kovalev in memoirs however russian ci
192,1,zionazis
